latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
1.34564765,103.67921574,33.8899,0.7336,"POLYGON((103.679250841263 1.3456284089331, 103.679250383539 1.34566771231539, 103.679180635975 1.34566688951465, 103.6791810937 1.34562758613348, 103.679250841263 1.3456284089331))",6PH58MWH+7M4X
1.33887589,103.6984949,107.5709,0.8253,"POLYGON((103.698551557909 1.3387894583291, 103.6984782501 1.33897807716109, 103.698438235036 1.33896232345917, 103.698511542845 1.33877370463095, 103.698551557909 1.3387894583291))",6PH58MQX+H955
1.34794413,103.68503419,11.4668,0.7356,"POLYGON((103.68505221977 1.34793184949452, 103.68505026399 1.34795889826413, 103.685016148644 1.34795639957119, 103.685018104424 1.34792935080207, 103.68505221977 1.34793184949452))",6PH58MXP+52FJ
1.3542046,103.68960884,157.2081,0.9183,"POLYGON((103.689683543588 1.35423227669051, 103.689587217546 1.35428170583158, 103.689534131694 1.3541769139135, 103.689630457728 1.35412748477097, 103.689683543588 1.35423227669051))",6PH59M3Q+MRQ3
1.34862552,103.68753548,33.7209,0.7951,"POLYGON((103.68757469034 1.3486348424584, 103.687506140493 1.34865333303435, 103.687496253377 1.34861620379274, 103.687564803222 1.34859771321618, 103.68757469034 1.3486348424584))",6PH58MXQ+F232
1.34761838,103.68229919,3476.4942,0.8592,"POLYGON((103.682456683974 1.3473452813649, 103.682495266299 1.34734589292833, 103.682492675901 1.3475114331369, 103.682489006067 1.34751137496652, 103.682484517792 1.34779819793306, 103.682449605295 1.34779764453334, 103.682449077054 1.34783140158391, 103.682471794238 1.34783176167518, 103.682471148673 1.34787301621842, 103.682448431489 1.34787265612653, 103.682446116557 1.34802059043259, 103.682113728743 1.34801532168235, 103.682125720461 1.34724899843623, 103.682248636936 1.34725094677875, 103.682249643913 1.34718659566775, 103.682291679605 1.34718726197071, 103.682291272579 1.34721327311444, 103.682458708123 1.34721592711076, 103.682456683974 1.3473452813649))",6PH58MXJ+2WVP
1.34524417,103.69596477,117.2892,0.6812,"POLYGON((103.696070227051 1.34525483257946, 103.695864608004 1.34527903311906, 103.69585931851 1.34523350873089, 103.696064937552 1.34520930818866, 103.696070227051 1.34525483257946))",6PH58MWW+39WQ
1.34245672,103.68751458,397.7939,0.9311,"POLYGON((103.687702703449 1.34247877344057, 103.687336409498 1.34252136267777, 103.68732645783 1.34243466278285, 103.687692751765 1.34239207353247, 103.687702703449 1.34247877344057))",6PH58MRQ+X2J7
1.35414547,103.69775162,278.0161,0.851,"POLYGON((103.697864094429 1.35418440559641, 103.697790045992 1.35425875853937, 103.697639149641 1.35410653394255, 103.69771319807 1.35403218100548, 103.697864094429 1.35418440559641))",6PH59M3X+M42R
1.33852461,103.69260719,15.3858,0.7587,"POLYGON((103.692631364893 1.33851735112623, 103.692619901664 1.33854653731674, 103.692583018143 1.33853186306596, 103.692594481372 1.33850267687609, 103.692631364893 1.33851735112623))",6PH58MQV+C25V
1.34661977,103.68512985,677.2035,0.793,"POLYGON((103.685354516384 1.34663834005504, 103.685306902986 1.3467639231095, 103.685193351524 1.34672031352335, 103.685208630016 1.34668001563497, 103.685173784879 1.34666663331445, 103.685158506387 1.34670693120245, 103.685058549808 1.34666854274363, 103.6850738283 1.34662824485658, 103.685036863227 1.34661404836982, 103.685021584734 1.3466543462563, 103.684924028175 1.34661687952365, 103.684939306668 1.34657658163821, 103.684908426339 1.34656472200409, 103.684940761245 1.34647943685932, 103.685354516384 1.34663834005504))",6PH58MWP+J3RJ
1.3385152,103.69000132,123.454,0.7461,"POLYGON((103.690089030734 1.33854252546752, 103.690056251151 1.33858924760169, 103.689913610606 1.33848787566517, 103.689946390187 1.33844115353352, 103.690089030734 1.33854252546752))",6PH58MQR+C22J
1.34398294,103.68104497,223.1467,0.738,"POLYGON((103.681219442843 1.34383751116153, 103.680913286964 1.3441466118216, 103.680885680435 1.34411891393742, 103.680921126835 1.34408312660475, 103.680897956714 1.34405987981149, 103.680920244393 1.34403737776058, 103.680943414514 1.34406062455452, 103.681191836311 1.34380981328488, 103.681219442843 1.34383751116153))",6PH58MVJ+HCV7
1.33991438,103.69171719,36.4306,0.7127,"POLYGON((103.691705947514 1.33995622332984, 103.691677466047 1.33993113524425, 103.691728419973 1.33987253951029, 103.691756901441 1.33989762759526, 103.691705947514 1.33995622332984))",6PH58MQR+XM8H
